year,geo,noc,hours_worked
2016,Canada,Specialized middle management occupations [01-05],40.5
2017,Canada,Specialized middle management occupations [01-05],39.9
2018,Canada,Specialized middle management occupations [01-05],40.5
2019,Canada,Specialized middle management occupations [01-05],39.5
2020,Canada,Specialized middle management occupations [01-05],40.2
1987,Canada,Middle management occupations in retail and wholesale trade and customer services [06],46.4
1988,Canada,Middle management occupations in retail and wholesale trade and customer services [06],46.7
1989,Canada,Middle management occupations in retail and wholesale trade and customer services [06],46.9
1990,Canada,Middle management occupations in retail and wholesale trade and customer services [06],46.9
1991,Canada,Middle management occupations in retail and wholesale trade and customer services [06],46.2
1992,Canada,Middle management occupations in retail and wholesale trade and customer services [06],45.8
1993,Canada,Middle management occupations in retail and wholesale trade and customer services [06],46
1994,Canada,Middle management occupations in retail and wholesale trade and customer services [06],46
1995,Canada,Middle management occupations in retail and wholesale trade and customer services [06],45.8
1996,Canada,Middle management occupations in retail and wholesale trade and customer services [06],45.7
1997,Canada,Middle management occupations in retail and wholesale trade and customer services [06],45.9
1998,Canada,Middle management occupations in retail and wholesale trade and customer services [06],45
1999,Canada,Middle management occupations in retail and wholesale trade and customer services [06],45.6
2000,Canada,Middle management occupations in retail and wholesale trade and customer services [06],45.6
2001,Canada,Middle management occupations in retail and wholesale trade and customer services [06],45
2002,Canada,Middle management occupations in retail and wholesale trade and customer services [06],44.8
2003,Canada,Middle management occupations in retail and wholesale trade and customer services [06],44.5
2004,Canada,Middle management occupations in retail and wholesale trade and customer services [06],44.5
2005,Canada,Middle management occupations in retail and wholesale trade and customer services [06],43.8
2006,Canada,Middle management occupations in retail and wholesale trade and customer services [06],43.3
2007,Canada,Middle management occupations in retail and wholesale trade and customer services [06],44.3
2008,Canada,Middle management occupations in retail and wholesale trade and customer services [06],43
2009,Canada,Middle management occupations in retail and wholesale trade and customer services [06],42.4
2010,Canada,Middle management occupations in retail and wholesale trade and customer services [06],43.1
2011,Canada,Middle management occupations in retail and wholesale trade and customer services [06],42.2
2012,Canada,Middle management occupations in retail and wholesale trade and customer services [06],42.9
2013,Canada,Middle management occupations in retail and wholesale trade and customer services [06],42.8
2014,Canada,Middle management occupations in retail and wholesale trade and customer services [06],42.2
2015,Canada,Middle management occupations in retail and wholesale trade and customer services [06],42
2016,Canada,Middle management occupations in retail and wholesale trade and customer services [06],42.3
2017,Canada,Middle management occupations in retail and wholesale trade and customer services [06],41.6
2018,Canada,Middle management occupations in retail and wholesale trade and customer services [06],41.9
2019,Canada,Middle management occupations in retail and wholesale trade and customer services [06],40.9
2020,Canada,Middle management occupations in retail and wholesale trade and customer services [06],39.5
1987,Canada,"Middle management occupations in trades, transportation, production and utilities [07-09]",48.8
1988,Canada,"Middle management occupations in trades, transportation, production and utilities [07-09]",48.6
1989,Canada,"Middle management occupations in trades, transportation, production and utilities [07-09]",48.8
1990,Canada,"Middle management occupations in trades, transportation, production and utilities [07-09]",48.8
1991,Canada,"Middle management occupations in trades, transportation, production and utilities [07-09]",48.1
1992,Canada,"Middle management occupations in trades, transportation, production and utilities [07-09]",47.6
1993,Canada,"Middle management occupations in trades, transportation, production and utilities [07-09]",47.6
1994,Canada,"Middle management occupations in trades, transportation, production and utilities [07-09]",48.1
1995,Canada,"Middle management occupations in trades, transportation, production and utilities [07-09]",47.7
