year,geo,noc,hours_worked
2019,Nova Scotia,"Distribution, tracking and scheduling co-ordination occupations [15]",34.7
2020,Nova Scotia,"Distribution, tracking and scheduling co-ordination occupations [15]",37.9
1987,Nova Scotia,Natural and applied sciences and related occupations [2],39.2
1988,Nova Scotia,Natural and applied sciences and related occupations [2],40.7
1989,Nova Scotia,Natural and applied sciences and related occupations [2],41
1990,Nova Scotia,Natural and applied sciences and related occupations [2],39.9
1991,Nova Scotia,Natural and applied sciences and related occupations [2],39.5
1992,Nova Scotia,Natural and applied sciences and related occupations [2],39.9
1993,Nova Scotia,Natural and applied sciences and related occupations [2],39.4
1994,Nova Scotia,Natural and applied sciences and related occupations [2],40.7
1995,Nova Scotia,Natural and applied sciences and related occupations [2],41.2
1996,Nova Scotia,Natural and applied sciences and related occupations [2],39.6
1997,Nova Scotia,Natural and applied sciences and related occupations [2],40.3
1998,Nova Scotia,Natural and applied sciences and related occupations [2],40.4
1999,Nova Scotia,Natural and applied sciences and related occupations [2],40.1
2000,Nova Scotia,Natural and applied sciences and related occupations [2],39.7
2001,Nova Scotia,Natural and applied sciences and related occupations [2],40.1
2002,Nova Scotia,Natural and applied sciences and related occupations [2],40.3
2003,Nova Scotia,Natural and applied sciences and related occupations [2],38.7
2004,Nova Scotia,Natural and applied sciences and related occupations [2],38.2
2005,Nova Scotia,Natural and applied sciences and related occupations [2],39
2006,Nova Scotia,Natural and applied sciences and related occupations [2],39.9
2007,Nova Scotia,Natural and applied sciences and related occupations [2],39.3
2008,Nova Scotia,Natural and applied sciences and related occupations [2],38.2
2009,Nova Scotia,Natural and applied sciences and related occupations [2],38.1
2010,Nova Scotia,Natural and applied sciences and related occupations [2],38.6
2011,Nova Scotia,Natural and applied sciences and related occupations [2],37.5
2012,Nova Scotia,Natural and applied sciences and related occupations [2],38.5
2013,Nova Scotia,Natural and applied sciences and related occupations [2],38.3
2014,Nova Scotia,Natural and applied sciences and related occupations [2],38.1
2015,Nova Scotia,Natural and applied sciences and related occupations [2],38.8
2016,Nova Scotia,Natural and applied sciences and related occupations [2],38.8
2017,Nova Scotia,Natural and applied sciences and related occupations [2],38.2
2018,Nova Scotia,Natural and applied sciences and related occupations [2],38.5
2019,Nova Scotia,Natural and applied sciences and related occupations [2],37.4
2020,Nova Scotia,Natural and applied sciences and related occupations [2],37.7
1987,Nova Scotia,Professional occupations in natural and applied sciences [21],39.3
1988,Nova Scotia,Professional occupations in natural and applied sciences [21],40.4
1989,Nova Scotia,Professional occupations in natural and applied sciences [21],41.3
1990,Nova Scotia,Professional occupations in natural and applied sciences [21],39.6
1991,Nova Scotia,Professional occupations in natural and applied sciences [21],39.2
1992,Nova Scotia,Professional occupations in natural and applied sciences [21],39.6
1993,Nova Scotia,Professional occupations in natural and applied sciences [21],39.3
1994,Nova Scotia,Professional occupations in natural and applied sciences [21],41.6
1995,Nova Scotia,Professional occupations in natural and applied sciences [21],41.1
1996,Nova Scotia,Professional occupations in natural and applied sciences [21],39.4
1997,Nova Scotia,Professional occupations in natural and applied sciences [21],40.2
1998,Nova Scotia,Professional occupations in natural and applied sciences [21],40.7
1999,Nova Scotia,Professional occupations in natural and applied sciences [21],40.8
2000,Nova Scotia,Professional occupations in natural and applied sciences [21],40
2001,Nova Scotia,Professional occupations in natural and applied sciences [21],40.6
2002,Nova Scotia,Professional occupations in natural and applied sciences [21],41
2003,Nova Scotia,Professional occupations in natural and applied sciences [21],38.9
2004,Nova Scotia,Professional occupations in natural and applied sciences [21],38
2005,Nova Scotia,Professional occupations in natural and applied sciences [21],40
2006,Nova Scotia,Professional occupations in natural and applied sciences [21],39.9
2007,Nova Scotia,Professional occupations in natural and applied sciences [21],39.7
2008,Nova Scotia,Professional occupations in natural and applied sciences [21],37.4
2009,Nova Scotia,Professional occupations in natural and applied sciences [21],37.4
2010,Nova Scotia,Professional occupations in natural and applied sciences [21],39.1
2011,Nova Scotia,Professional occupations in natural and applied sciences [21],38
2012,Nova Scotia,Professional occupations in natural and applied sciences [21],39.4
2013,Nova Scotia,Professional occupations in natural and applied sciences [21],38.9
2014,Nova Scotia,Professional occupations in natural and applied sciences [21],37.7
2015,Nova Scotia,Professional occupations in natural and applied sciences [21],38.5
2016,Nova Scotia,Professional occupations in natural and applied sciences [21],38.9
2017,Nova Scotia,Professional occupations in natural and applied sciences [21],38.7
2018,Nova Scotia,Professional occupations in natural and applied sciences [21],38.8
2019,Nova Scotia,Professional occupations in natural and applied sciences [21],37.6
2020,Nova Scotia,Professional occupations in natural and applied sciences [21],37.7
1987,Nova Scotia,Technical occupations related to natural and applied sciences [22],38.7
1988,Nova Scotia,Technical occupations related to natural and applied sciences [22],41
1989,Nova Scotia,Technical occupations related to natural and applied sciences [22],40.8
1990,Nova Scotia,Technical occupations related to natural and applied sciences [22],40.5
1991,Nova Scotia,Technical occupations related to natural and applied sciences [22],39.7
1992,Nova Scotia,Technical occupations related to natural and applied sciences [22],40.5
1993,Nova Scotia,Technical occupations related to natural and applied sciences [22],39.5
1994,Nova Scotia,Technical occupations related to natural and applied sciences [22],40
1995,Nova Scotia,Technical occupations related to natural and applied sciences [22],41.2
1996,Nova Scotia,Technical occupations related to natural and applied sciences [22],39.8
1997,Nova Scotia,Technical occupations related to natural and applied sciences [22],40.3
1998,Nova Scotia,Technical occupations related to natural and applied sciences [22],40.1
1999,Nova Scotia,Technical occupations related to natural and applied sciences [22],39.7
2000,Nova Scotia,Technical occupations related to natural and applied sciences [22],39.6
2001,Nova Scotia,Technical occupations related to natural and applied sciences [22],39.8
2002,Nova Scotia,Technical occupations related to natural and applied sciences [22],39.8
2003,Nova Scotia,Technical occupations related to natural and applied sciences [22],38.6
2004,Nova Scotia,Technical occupations related to natural and applied sciences [22],38.4
2005,Nova Scotia,Technical occupations related to natural and applied sciences [22],38.3
2006,Nova Scotia,Technical occupations related to natural and applied sciences [22],39.9
2007,Nova Scotia,Technical occupations related to natural and applied sciences [22],39
2008,Nova Scotia,Technical occupations related to natural and applied sciences [22],38.5
2009,Nova Scotia,Technical occupations related to natural and applied sciences [22],38.7
2010,Nova Scotia,Technical occupations related to natural and applied sciences [22],38.4
2011,Nova Scotia,Technical occupations related to natural and applied sciences [22],37.1
2012,Nova Scotia,Technical occupations related to natural and applied sciences [22],37.6
2013,Nova Scotia,Technical occupations related to natural and applied sciences [22],37.7
2014,Nova Scotia,Technical occupations related to natural and applied sciences [22],38.5
2015,Nova Scotia,Technical occupations related to natural and applied sciences [22],38.8
2016,Nova Scotia,Technical occupations related to natural and applied sciences [22],38.7
2017,Nova Scotia,Technical occupations related to natural and applied sciences [22],37.7
2018,Nova Scotia,Technical occupations related to natural and applied sciences [22],38.2
2019,Nova Scotia,Technical occupations related to natural and applied sciences [22],37.2
2020,Nova Scotia,Technical occupations related to natural and applied sciences [22],37.6
1987,Nova Scotia,Health occupations [3],35
1988,Nova Scotia,Health occupations [3],35.4
1989,Nova Scotia,Health occupations [3],36.1
1990,Nova Scotia,Health occupations [3],36.5
1991,Nova Scotia,Health occupations [3],36.3
1992,Nova Scotia,Health occupations [3],36.2
1993,Nova Scotia,Health occupations [3],35.9
1994,Nova Scotia,Health occupations [3],35.4
1995,Nova Scotia,Health occupations [3],35.1
1996,Nova Scotia,Health occupations [3],35.4
1997,Nova Scotia,Health occupations [3],35.1
1998,Nova Scotia,Health occupations [3],35.9
1999,Nova Scotia,Health occupations [3],35.5
2000,Nova Scotia,Health occupations [3],35.9
2001,Nova Scotia,Health occupations [3],35.3
2002,Nova Scotia,Health occupations [3],34.4
2003,Nova Scotia,Health occupations [3],35.6
2004,Nova Scotia,Health occupations [3],34.3
2005,Nova Scotia,Health occupations [3],35.2
2006,Nova Scotia,Health occupations [3],35.2
2007,Nova Scotia,Health occupations [3],36.3
2008,Nova Scotia,Health occupations [3],35.6
2009,Nova Scotia,Health occupations [3],35.4
2010,Nova Scotia,Health occupations [3],34.5
2011,Nova Scotia,Health occupations [3],34.8
2012,Nova Scotia,Health occupations [3],35.8
2013,Nova Scotia,Health occupations [3],34.6
2014,Nova Scotia,Health occupations [3],34.8
2015,Nova Scotia,Health occupations [3],35
2016,Nova Scotia,Health occupations [3],35
2017,Nova Scotia,Health occupations [3],34.7
2018,Nova Scotia,Health occupations [3],35.3
2019,Nova Scotia,Health occupations [3],34.5
2020,Nova Scotia,Health occupations [3],35.1
1987,Nova Scotia,Professional occupations in nursing [30],32.8
1988,Nova Scotia,Professional occupations in nursing [30],34
1989,Nova Scotia,Professional occupations in nursing [30],33.5
1990,Nova Scotia,Professional occupations in nursing [30],33.9
1991,Nova Scotia,Professional occupations in nursing [30],33.8
1992,Nova Scotia,Professional occupations in nursing [30],34.2
1993,Nova Scotia,Professional occupations in nursing [30],32
1994,Nova Scotia,Professional occupations in nursing [30],32
1995,Nova Scotia,Professional occupations in nursing [30],31.3
1996,Nova Scotia,Professional occupations in nursing [30],33
1997,Nova Scotia,Professional occupations in nursing [30],33.1
1998,Nova Scotia,Professional occupations in nursing [30],33.1
1999,Nova Scotia,Professional occupations in nursing [30],34.4
2000,Nova Scotia,Professional occupations in nursing [30],34.2
2001,Nova Scotia,Professional occupations in nursing [30],34.2
2002,Nova Scotia,Professional occupations in nursing [30],34.3
2003,Nova Scotia,Professional occupations in nursing [30],34.2
2004,Nova Scotia,Professional occupations in nursing [30],33.3
2005,Nova Scotia,Professional occupations in nursing [30],34.4
2006,Nova Scotia,Professional occupations in nursing [30],35
2007,Nova Scotia,Professional occupations in nursing [30],36
2008,Nova Scotia,Professional occupations in nursing [30],34.2
2009,Nova Scotia,Professional occupations in nursing [30],34.5
2010,Nova Scotia,Professional occupations in nursing [30],33.5
2011,Nova Scotia,Professional occupations in nursing [30],33.5
2012,Nova Scotia,Professional occupations in nursing [30],34.4
2013,Nova Scotia,Professional occupations in nursing [30],34.6
2014,Nova Scotia,Professional occupations in nursing [30],34.7
2015,Nova Scotia,Professional occupations in nursing [30],34.5
2016,Nova Scotia,Professional occupations in nursing [30],33.9
2017,Nova Scotia,Professional occupations in nursing [30],34.4
2018,Nova Scotia,Professional occupations in nursing [30],35.5
2019,Nova Scotia,Professional occupations in nursing [30],34.4
2020,Nova Scotia,Professional occupations in nursing [30],36.1
1987,Nova Scotia,Professional occupations in health (except nursing) [31],41.4
1988,Nova Scotia,Professional occupations in health (except nursing) [31],40.6
1989,Nova Scotia,Professional occupations in health (except nursing) [31],43.9
1990,Nova Scotia,Professional occupations in health (except nursing) [31],46.3
1991,Nova Scotia,Professional occupations in health (except nursing) [31],44.7
1992,Nova Scotia,Professional occupations in health (except nursing) [31],45.2
1993,Nova Scotia,Professional occupations in health (except nursing) [31],43.6
1994,Nova Scotia,Professional occupations in health (except nursing) [31],42.6
1995,Nova Scotia,Professional occupations in health (except nursing) [31],43.6
1996,Nova Scotia,Professional occupations in health (except nursing) [31],41.6
1997,Nova Scotia,Professional occupations in health (except nursing) [31],39
1998,Nova Scotia,Professional occupations in health (except nursing) [31],42.2
1999,Nova Scotia,Professional occupations in health (except nursing) [31],40.6
2000,Nova Scotia,Professional occupations in health (except nursing) [31],41.7
2001,Nova Scotia,Professional occupations in health (except nursing) [31],38.7
2002,Nova Scotia,Professional occupations in health (except nursing) [31],39.7
2003,Nova Scotia,Professional occupations in health (except nursing) [31],41.2
2004,Nova Scotia,Professional occupations in health (except nursing) [31],39.2
2005,Nova Scotia,Professional occupations in health (except nursing) [31],38.8
2006,Nova Scotia,Professional occupations in health (except nursing) [31],38.5
2007,Nova Scotia,Professional occupations in health (except nursing) [31],41.2
2008,Nova Scotia,Professional occupations in health (except nursing) [31],41.3
2009,Nova Scotia,Professional occupations in health (except nursing) [31],40.9
2010,Nova Scotia,Professional occupations in health (except nursing) [31],39.6
2011,Nova Scotia,Professional occupations in health (except nursing) [31],38.8
2012,Nova Scotia,Professional occupations in health (except nursing) [31],41
2013,Nova Scotia,Professional occupations in health (except nursing) [31],36.9
2014,Nova Scotia,Professional occupations in health (except nursing) [31],37.3
2015,Nova Scotia,Professional occupations in health (except nursing) [31],38.2
2016,Nova Scotia,Professional occupations in health (except nursing) [31],39
2017,Nova Scotia,Professional occupations in health (except nursing) [31],39.6
2018,Nova Scotia,Professional occupations in health (except nursing) [31],40.5
2019,Nova Scotia,Professional occupations in health (except nursing) [31],37.9
2020,Nova Scotia,Professional occupations in health (except nursing) [31],38.4
1987,Nova Scotia,Technical occupations in health [32],33.6
1988,Nova Scotia,Technical occupations in health [32],34.3
1989,Nova Scotia,Technical occupations in health [32],35.3
1990,Nova Scotia,Technical occupations in health [32],34.5
1991,Nova Scotia,Technical occupations in health [32],34.6
1992,Nova Scotia,Technical occupations in health [32],35.6
1993,Nova Scotia,Technical occupations in health [32],34.9
1994,Nova Scotia,Technical occupations in health [32],34.9
1995,Nova Scotia,Technical occupations in health [32],35
1996,Nova Scotia,Technical occupations in health [32],35.4
1997,Nova Scotia,Technical occupations in health [32],34.4
1998,Nova Scotia,Technical occupations in health [32],35.8
1999,Nova Scotia,Technical occupations in health [32],35.6
2000,Nova Scotia,Technical occupations in health [32],36
2001,Nova Scotia,Technical occupations in health [32],35.3
2002,Nova Scotia,Technical occupations in health [32],32
2003,Nova Scotia,Technical occupations in health [32],34.3
2004,Nova Scotia,Technical occupations in health [32],33.3
2005,Nova Scotia,Technical occupations in health [32],34.4
2006,Nova Scotia,Technical occupations in health [32],35.3
2007,Nova Scotia,Technical occupations in health [32],34.5
2008,Nova Scotia,Technical occupations in health [32],34.3
2009,Nova Scotia,Technical occupations in health [32],33.6
2010,Nova Scotia,Technical occupations in health [32],34.2
2011,Nova Scotia,Technical occupations in health [32],34.6
2012,Nova Scotia,Technical occupations in health [32],34.8
2013,Nova Scotia,Technical occupations in health [32],33.1
2014,Nova Scotia,Technical occupations in health [32],33
2015,Nova Scotia,Technical occupations in health [32],34.4
2016,Nova Scotia,Technical occupations in health [32],34
2017,Nova Scotia,Technical occupations in health [32],32.4
2018,Nova Scotia,Technical occupations in health [32],34
2019,Nova Scotia,Technical occupations in health [32],33.9
2020,Nova Scotia,Technical occupations in health [32],32.7
1987,Nova Scotia,Assisting occupations in support of health services [34],34.5
1988,Nova Scotia,Assisting occupations in support of health services [34],34.7
1989,Nova Scotia,Assisting occupations in support of health services [34],35.5
1990,Nova Scotia,Assisting occupations in support of health services [34],35.7
1991,Nova Scotia,Assisting occupations in support of health services [34],34.1
1992,Nova Scotia,Assisting occupations in support of health services [34],31.8
1993,Nova Scotia,Assisting occupations in support of health services [34],33.2
1994,Nova Scotia,Assisting occupations in support of health services [34],33.4
1995,Nova Scotia,Assisting occupations in support of health services [34],33.9
1996,Nova Scotia,Assisting occupations in support of health services [34],33.4
1997,Nova Scotia,Assisting occupations in support of health services [34],36
1998,Nova Scotia,Assisting occupations in support of health services [34],34.6
1999,Nova Scotia,Assisting occupations in support of health services [34],32.7
2000,Nova Scotia,Assisting occupations in support of health services [34],33.3
2001,Nova Scotia,Assisting occupations in support of health services [34],34
2002,Nova Scotia,Assisting occupations in support of health services [34],33
2003,Nova Scotia,Assisting occupations in support of health services [34],33.3
2004,Nova Scotia,Assisting occupations in support of health services [34],32.2
2005,Nova Scotia,Assisting occupations in support of health services [34],34.3
2006,Nova Scotia,Assisting occupations in support of health services [34],33.6
2007,Nova Scotia,Assisting occupations in support of health services [34],35.3
2008,Nova Scotia,Assisting occupations in support of health services [34],33.4
2009,Nova Scotia,Assisting occupations in support of health services [34],33.7
2010,Nova Scotia,Assisting occupations in support of health services [34],32.4
2011,Nova Scotia,Assisting occupations in support of health services [34],32.9
2012,Nova Scotia,Assisting occupations in support of health services [34],34.9
2013,Nova Scotia,Assisting occupations in support of health services [34],34.3
2014,Nova Scotia,Assisting occupations in support of health services [34],34.9
2015,Nova Scotia,Assisting occupations in support of health services [34],33.5
2016,Nova Scotia,Assisting occupations in support of health services [34],33.5
2017,Nova Scotia,Assisting occupations in support of health services [34],32.9
2018,Nova Scotia,Assisting occupations in support of health services [34],32.4
2019,Nova Scotia,Assisting occupations in support of health services [34],32.8
2020,Nova Scotia,Assisting occupations in support of health services [34],34
1987,Nova Scotia,"Occupations in education, law and social, community and government services [4]",35.2
1988,Nova Scotia,"Occupations in education, law and social, community and government services [4]",35.6
1989,Nova Scotia,"Occupations in education, law and social, community and government services [4]",36.8
1990,Nova Scotia,"Occupations in education, law and social, community and government services [4]",36.7
1991,Nova Scotia,"Occupations in education, law and social, community and government services [4]",36.3
1992,Nova Scotia,"Occupations in education, law and social, community and government services [4]",35.7
1993,Nova Scotia,"Occupations in education, law and social, community and government services [4]",35.3
1994,Nova Scotia,"Occupations in education, law and social, community and government services [4]",36.5
1995,Nova Scotia,"Occupations in education, law and social, community and government services [4]",35.8
1996,Nova Scotia,"Occupations in education, law and social, community and government services [4]",35.9
1997,Nova Scotia,"Occupations in education, law and social, community and government services [4]",36.7
1998,Nova Scotia,"Occupations in education, law and social, community and government services [4]",35.8
1999,Nova Scotia,"Occupations in education, law and social, community and government services [4]",35.7
2000,Nova Scotia,"Occupations in education, law and social, community and government services [4]",37.1
2001,Nova Scotia,"Occupations in education, law and social, community and government services [4]",35.9
2002,Nova Scotia,"Occupations in education, law and social, community and government services [4]",35
2003,Nova Scotia,"Occupations in education, law and social, community and government services [4]",34.9
2004,Nova Scotia,"Occupations in education, law and social, community and government services [4]",33.8
2005,Nova Scotia,"Occupations in education, law and social, community and government services [4]",35.7
2006,Nova Scotia,"Occupations in education, law and social, community and government services [4]",34.8
2007,Nova Scotia,"Occupations in education, law and social, community and government services [4]",35.8
2008,Nova Scotia,"Occupations in education, law and social, community and government services [4]",34.8
2009,Nova Scotia,"Occupations in education, law and social, community and government services [4]",35.2
2010,Nova Scotia,"Occupations in education, law and social, community and government services [4]",35.5
2011,Nova Scotia,"Occupations in education, law and social, community and government services [4]",35.8
2012,Nova Scotia,"Occupations in education, law and social, community and government services [4]",35.8
2013,Nova Scotia,"Occupations in education, law and social, community and government services [4]",34.1
2014,Nova Scotia,"Occupations in education, law and social, community and government services [4]",34.9
2015,Nova Scotia,"Occupations in education, law and social, community and government services [4]",34.7
2016,Nova Scotia,"Occupations in education, law and social, community and government services [4]",35.1
2017,Nova Scotia,"Occupations in education, law and social, community and government services [4]",33.5
2018,Nova Scotia,"Occupations in education, law and social, community and government services [4]",35.8
2019,Nova Scotia,"Occupations in education, law and social, community and government services [4]",35.1
2020,Nova Scotia,"Occupations in education, law and social, community and government services [4]",33.7
1987,Nova Scotia,Professional occupations in education services [40],37.6
1988,Nova Scotia,Professional occupations in education services [40],38.2
1989,Nova Scotia,Professional occupations in education services [40],39.6
1990,Nova Scotia,Professional occupations in education services [40],39.9
1991,Nova Scotia,Professional occupations in education services [40],37.8
1992,Nova Scotia,Professional occupations in education services [40],38
1993,Nova Scotia,Professional occupations in education services [40],37.3
1994,Nova Scotia,Professional occupations in education services [40],39
1995,Nova Scotia,Professional occupations in education services [40],38.5
1996,Nova Scotia,Professional occupations in education services [40],39.8
1997,Nova Scotia,Professional occupations in education services [40],38.5
1998,Nova Scotia,Professional occupations in education services [40],39.2
1999,Nova Scotia,Professional occupations in education services [40],38
2000,Nova Scotia,Professional occupations in education services [40],39.8
2001,Nova Scotia,Professional occupations in education services [40],39
2002,Nova Scotia,Professional occupations in education services [40],39.3
2003,Nova Scotia,Professional occupations in education services [40],36.6
2004,Nova Scotia,Professional occupations in education services [40],35.6
2005,Nova Scotia,Professional occupations in education services [40],38.3
2006,Nova Scotia,Professional occupations in education services [40],36.8
2007,Nova Scotia,Professional occupations in education services [40],38.1
2008,Nova Scotia,Professional occupations in education services [40],36.5
2009,Nova Scotia,Professional occupations in education services [40],36.7
2010,Nova Scotia,Professional occupations in education services [40],37.6
2011,Nova Scotia,Professional occupations in education services [40],36.8
2012,Nova Scotia,Professional occupations in education services [40],37.4
2013,Nova Scotia,Professional occupations in education services [40],34.9
2014,Nova Scotia,Professional occupations in education services [40],35.8
2015,Nova Scotia,Professional occupations in education services [40],36.4
2016,Nova Scotia,Professional occupations in education services [40],37
2017,Nova Scotia,Professional occupations in education services [40],35
2018,Nova Scotia,Professional occupations in education services [40],37
2019,Nova Scotia,Professional occupations in education services [40],36.4
2020,Nova Scotia,Professional occupations in education services [40],34.1
1987,Nova Scotia,"Professional occupations in law and social, community and government services [41]",41.7
1988,Nova Scotia,"Professional occupations in law and social, community and government services [41]",44
1989,Nova Scotia,"Professional occupations in law and social, community and government services [41]",45.9
1990,Nova Scotia,"Professional occupations in law and social, community and government services [41]",42.3
1991,Nova Scotia,"Professional occupations in law and social, community and government services [41]",43.9
1992,Nova Scotia,"Professional occupations in law and social, community and government services [41]",41.7
1993,Nova Scotia,"Professional occupations in law and social, community and government services [41]",41.8
1994,Nova Scotia,"Professional occupations in law and social, community and government services [41]",43.9
1995,Nova Scotia,"Professional occupations in law and social, community and government services [41]",42.3
1996,Nova Scotia,"Professional occupations in law and social, community and government services [41]",43.5
1997,Nova Scotia,"Professional occupations in law and social, community and government services [41]",40.2
1998,Nova Scotia,"Professional occupations in law and social, community and government services [41]",38.8
1999,Nova Scotia,"Professional occupations in law and social, community and government services [41]",41
2000,Nova Scotia,"Professional occupations in law and social, community and government services [41]",41.8
2001,Nova Scotia,"Professional occupations in law and social, community and government services [41]",39.2
2002,Nova Scotia,"Professional occupations in law and social, community and government services [41]",40
2003,Nova Scotia,"Professional occupations in law and social, community and government services [41]",38.4
2004,Nova Scotia,"Professional occupations in law and social, community and government services [41]",38.1
2005,Nova Scotia,"Professional occupations in law and social, community and government services [41]",38
2006,Nova Scotia,"Professional occupations in law and social, community and government services [41]",37
2007,Nova Scotia,"Professional occupations in law and social, community and government services [41]",37.6
2008,Nova Scotia,"Professional occupations in law and social, community and government services [41]",36.4
2009,Nova Scotia,"Professional occupations in law and social, community and government services [41]",36.9
2010,Nova Scotia,"Professional occupations in law and social, community and government services [41]",36.2
2011,Nova Scotia,"Professional occupations in law and social, community and government services [41]",38.4
2012,Nova Scotia,"Professional occupations in law and social, community and government services [41]",37.6
2013,Nova Scotia,"Professional occupations in law and social, community and government services [41]",35
2014,Nova Scotia,"Professional occupations in law and social, community and government services [41]",36.1
2015,Nova Scotia,"Professional occupations in law and social, community and government services [41]",36.1
2016,Nova Scotia,"Professional occupations in law and social, community and government services [41]",35.9
2017,Nova Scotia,"Professional occupations in law and social, community and government services [41]",33.7
2018,Nova Scotia,"Professional occupations in law and social, community and government services [41]",37.2
2019,Nova Scotia,"Professional occupations in law and social, community and government services [41]",36
2020,Nova Scotia,"Professional occupations in law and social, community and government services [41]",35
1987,Nova Scotia,"Paraprofessional occupations in legal, social, community and education services [42]",30.3
1988,Nova Scotia,"Paraprofessional occupations in legal, social, community and education services [42]",30.2
1989,Nova Scotia,"Paraprofessional occupations in legal, social, community and education services [42]",30.5
1990,Nova Scotia,"Paraprofessional occupations in legal, social, community and education services [42]",31.1
1991,Nova Scotia,"Paraprofessional occupations in legal, social, community and education services [42]",30
1992,Nova Scotia,"Paraprofessional occupations in legal, social, community and education services [42]",30.6
1993,Nova Scotia,"Paraprofessional occupations in legal, social, community and education services [42]",30.8
1994,Nova Scotia,"Paraprofessional occupations in legal, social, community and education services [42]",31
1995,Nova Scotia,"Paraprofessional occupations in legal, social, community and education services [42]",29.1
1996,Nova Scotia,"Paraprofessional occupations in legal, social, community and education services [42]",29.2
1997,Nova Scotia,"Paraprofessional occupations in legal, social, community and education services [42]",32
1998,Nova Scotia,"Paraprofessional occupations in legal, social, community and education services [42]",31.7
1999,Nova Scotia,"Paraprofessional occupations in legal, social, community and education services [42]",34.5
2000,Nova Scotia,"Paraprofessional occupations in legal, social, community and education services [42]",34.2
2001,Nova Scotia,"Paraprofessional occupations in legal, social, community and education services [42]",33.4
2002,Nova Scotia,"Paraprofessional occupations in legal, social, community and education services [42]",32.5
2003,Nova Scotia,"Paraprofessional occupations in legal, social, community and education services [42]",32.5
2004,Nova Scotia,"Paraprofessional occupations in legal, social, community and education services [42]",33.3
2005,Nova Scotia,"Paraprofessional occupations in legal, social, community and education services [42]",35.1
2006,Nova Scotia,"Paraprofessional occupations in legal, social, community and education services [42]",34.3
2007,Nova Scotia,"Paraprofessional occupations in legal, social, community and education services [42]",33.6
2008,Nova Scotia,"Paraprofessional occupations in legal, social, community and education services [42]",33.3
2009,Nova Scotia,"Paraprofessional occupations in legal, social, community and education services [42]",33.7
2010,Nova Scotia,"Paraprofessional occupations in legal, social, community and education services [42]",33.1
2011,Nova Scotia,"Paraprofessional occupations in legal, social, community and education services [42]",34.5
2012,Nova Scotia,"Paraprofessional occupations in legal, social, community and education services [42]",35
2013,Nova Scotia,"Paraprofessional occupations in legal, social, community and education services [42]",33.3
2014,Nova Scotia,"Paraprofessional occupations in legal, social, community and education services [42]",34.8
2015,Nova Scotia,"Paraprofessional occupations in legal, social, community and education services [42]",34.2
2016,Nova Scotia,"Paraprofessional occupations in legal, social, community and education services [42]",33.6
2017,Nova Scotia,"Paraprofessional occupations in legal, social, community and education services [42]",31.9
2018,Nova Scotia,"Paraprofessional occupations in legal, social, community and education services [42]",34.2
2019,Nova Scotia,"Paraprofessional occupations in legal, social, community and education services [42]",34.1
2020,Nova Scotia,"Paraprofessional occupations in legal, social, community and education services [42]",33.1
1987,Nova Scotia,Occupations in front-line public protection services [43],39.1
1988,Nova Scotia,Occupations in front-line public protection services [43],40.8
1989,Nova Scotia,Occupations in front-line public protection services [43],42.5
1990,Nova Scotia,Occupations in front-line public protection services [43],40.9
1991,Nova Scotia,Occupations in front-line public protection services [43],43.8
1992,Nova Scotia,Occupations in front-line public protection services [43],40
1993,Nova Scotia,Occupations in front-line public protection services [43],41.9
1994,Nova Scotia,Occupations in front-line public protection services [43],41.4
1995,Nova Scotia,Occupations in front-line public protection services [43],42
1996,Nova Scotia,Occupations in front-line public protection services [43],42.9
1997,Nova Scotia,Occupations in front-line public protection services [43],42.6
1998,Nova Scotia,Occupations in front-line public protection services [43],41.1
1999,Nova Scotia,Occupations in front-line public protection services [43],44.2
2000,Nova Scotia,Occupations in front-line public protection services [43],41.6
2001,Nova Scotia,Occupations in front-line public protection services [43],42.2
2002,Nova Scotia,Occupations in front-line public protection services [43],40.7
2003,Nova Scotia,Occupations in front-line public protection services [43],45.4
2004,Nova Scotia,Occupations in front-line public protection services [43],39.5
2005,Nova Scotia,Occupations in front-line public protection services [43],41
2006,Nova Scotia,Occupations in front-line public protection services [43],42.7
2007,Nova Scotia,Occupations in front-line public protection services [43],43
2008,Nova Scotia,Occupations in front-line public protection services [43],41.2
2009,Nova Scotia,Occupations in front-line public protection services [43],44.5
2010,Nova Scotia,Occupations in front-line public protection services [43],43.9
2011,Nova Scotia,Occupations in front-line public protection services [43],44.1
2012,Nova Scotia,Occupations in front-line public protection services [43],42.9
2013,Nova Scotia,Occupations in front-line public protection services [43],44.6
2014,Nova Scotia,Occupations in front-line public protection services [43],41.9
2015,Nova Scotia,Occupations in front-line public protection services [43],41.6
2016,Nova Scotia,Occupations in front-line public protection services [43],40.7
2017,Nova Scotia,Occupations in front-line public protection services [43],44.1
2018,Nova Scotia,Occupations in front-line public protection services [43],44.9
2019,Nova Scotia,Occupations in front-line public protection services [43],40.9
2020,Nova Scotia,Occupations in front-line public protection services [43],44.6
1987,Nova Scotia,"Care providers and educational, legal and public protection support occupations [44]",30
1988,Nova Scotia,"Care providers and educational, legal and public protection support occupations [44]",30.4
1989,Nova Scotia,"Care providers and educational, legal and public protection support occupations [44]",30.1
1990,Nova Scotia,"Care providers and educational, legal and public protection support occupations [44]",29.6
1991,Nova Scotia,"Care providers and educational, legal and public protection support occupations [44]",28.5
1992,Nova Scotia,"Care providers and educational, legal and public protection support occupations [44]",29.2
